what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1368604340522
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1368604340555
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1368604340572
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1368604340605
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1368604340622
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1368604340638
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1368604340672
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1368604340688
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1368604340705
started,bundle,org.eclipse.jst.j2ee.ui,1.1.501.v201108231700,"org.eclipse.jst.j2ee.ui",1368604340722
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1368604340755
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1368604340755
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1368604340772
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1368604340788
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1368604340805
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1368604340838
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1368604340838
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1368604340872
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1368604340889
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1368604340955
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1368604340972
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1368604341039
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1368604341039
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1368604341055
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1368604341072
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1368604341089
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1368604341139
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1368604341139
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1368604341205
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1368604341239
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1368604341239
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1368604341272
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1368604341289
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1368604341289
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1368604341306
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1368604341339
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1368604341339
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1368604341356
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1368604341389
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1368604341389
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1368604341389
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1368604341406
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1368604341422
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1368604341422
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1368604341439
os,sysinfo,,,"win32",1368604341456
arch,sysinfo,,,"x86",1368604341456
ws,sysinfo,,,"win32",1368604341456
locale,sysinfo,,,"en_US",1368604341456
processors,sysinfo,,,"2",1368604341456
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1368604341456
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1368604341456
java.specification.name,sysinfo,,,"Java Platform API Specification",1368604341456
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1368604341456
java.specification.version,sysinfo,,,"1.6",1368604341456
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1368604341456
java.version,sysinfo,,,"1.6.0_20",1368604341456
java.vm.info,sysinfo,,,"mixed mode, sharing",1368604341456
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1368604341456
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1368604341456
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1368604341456
java.vm.specification.version,sysinfo,,,"1.0",1368604341456
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1368604341456
java.vm.version,sysinfo,,,"16.3-b01",1368604341456
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1368604342423
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1368604342423
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1368604342540
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1368604342573
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1368604342723
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368604343157
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368604343190
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1368604343257
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368604353915
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368604364423
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1368604364456
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368604369543
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368604393878
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1368604393895
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368604396196
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368604397514
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368604397614
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1368604398281
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1368604398315
